"id";"item_id";"role_id";"team_id";"is_void"
1;8;6;2;"False"
2;41;6;2;"False"
3;5;6;2;"False"
4;5;15;2;"False"
5;5;16;2;"False"
6;8;17;3;"False"
7;16;15;2;"False"
8;8;17;2;"True"
9;9;17;2;"False"
10;10;17;3;"False"
11;11;17;2;"False"
12;17;17;2;"False"
13;13;17;2;"False"
14;15;17;2;"False"
15;18;15;2;"False"
16;19;15;2;"False"
17;20;15;2;"False"
18;21;15;2;"False"
19;22;15;2;"False"
20;23;15;2;"False"
21;24;15;2;"False"
22;25;6;2;"False"
23;26;6;2;"False"
24;27;6;2;"False"
25;28;6;2;"False"
26;29;6;2;"False"
27;30;6;2;"False"
28;31;6;2;"False"
29;32;6;2;"False"
30;33;6;2;"False"
31;34;6;2;"False"
32;35;6;2;"False"
33;36;6;2;"False"
34;37;6;2;"False"
35;38;6;2;"False"
36;39;16;2;"False"
37;40;16;2;"False"
38;41;16;2;"False"
39;42;16;2;"False"
40;6;16;2;"False"
41;6;14;2;"False"
42;6;6;2;"False"
43;6;15;2;"False"
44;43;16;3;"False"
45;43;14;3;"False"
46;43;17;3;"False"
47;44;6;2;"False"
48;44;15;2;"False"
91;2;15;2;"False"
94;2;16;2;"False"
95;2;17;3;"False"
108;2;6;2;"False"
109;45;14;2;"False"
110;45;16;2;"False"
111;45;6;2;"False"
112;45;15;2;"False"
113;46;16;2;"False"
114;48;14;3;"False"
115;49;17;3;"False"
116;50;17;3;"False"
117;48;17;3;"False"
118;47;14;6;"False"
119;51;14;3;"False"
120;51;16;3;"False"
121;51;17;3;"False"
122;41;14;2;"False"
123;52;14;2;"False"
124;52;16;2;"False"
125;52;6;2;"False"
126;52;15;2;"False"
127;53;14;2;"False"
128;53;16;2;"False"
129;46;14;2;"False"
130;36;14;2;"False"
131;36;16;2;"False"
132;54;14;2;"False"
133;54;16;2;"False"
134;44;14;2;"False"
135;55;17;3;"False"
136;56;17;3;"False"
137;57;17;3;"False"
138;58;17;3;"False"
139;59;17;3;"False"
140;60;17;3;"False"
141;61;17;3;"False"
142;62;17;3;"False"
143;63;15;2;"False"
144;40;6;2;"False"
145;64;14;2;"False"
146;64;16;2;"False"
