"key";"abbrev";"name";"description"
101;"OYT";"Observation Yield Trial";"Observation Yield Trial"
102;"RYT";"Replicated Yield Trial";"Replicated Yield Trial"
103;"AYT";"Advanced Yield Trial";"Advanced Yield Trial"
104;"MET";"Multi-Environment Yield Trial";"Multi-Environment Yield Trial"
105;"HB";"Hybridization";"Hybridization"
106;"F1";"F1";"F1"
107;"RGA";"RGA";"Rapid Generation Advancement"
108;"F2";"F2";"F2"
109;"F3";"F3";"F3"
110;"F4";"F4";"F4"
111;"F5";"F5";"F5"
112;"F6";"F6";"F6"
113;"F7";"F7";"F7"
114;"F8";"F8";"F8"
115;"F9";"F9";"F9"
