"id";"user_id";"role_id";"is_void"
7;7;14;"False"
29;9;16;"False"
36;10;15;"False"
37;6;14;"False"
38;12;15;"False"
39;3;15;"False"
40;5;16;"False"
45;6;14;"False"
46;9;14;"False"
47;8;14;"False"
48;3;14;"False"
49;2;14;"False"
50;11;16;"False"
51;12;17;"False"
53;4;14;"False"
54;11;15;"False"
55;2;16;"False"
56;2;6;"False"
57;7;6;"False"
58;7;16;"False"
59;7;16;"False"
60;7;15;"False"
61;7;17;"False"
62;2;14;"False"
63;11;14;"False"
64;6;14;"False"
65;9;14;"False"
66;7;14;"False"
67;3;14;"False"
68;5;14;"False"
69;4;14;"False"
70;10;14;"False"
71;12;14;"False"
72;8;14;"False"
75;7;14;"False"
